time,FLOW,TEMP,type,outflow_num
2018-10-05,0.0057,19.1778,outflow,1
2018-10-06,0.008,19.1529,outflow,1
2018-10-07,0.0088,19.1746,outflow,1
2018-10-08,0.0096,19.0891,outflow,1
2018-10-09,0.0105,18.9914,outflow,1
2018-10-10,0.0131,18.9513,outflow,1
2018-10-11,0.0156,18.9241,outflow,1
2018-10-12,0.0272,18.8873,outflow,1
2018-10-13,0.0271,18.6383,outflow,1
2018-10-14,0.0294,18.4695,outflow,1
2018-10-15,0.0372,18.1155,outflow,1
2018-10-16,0.0411,17.6571,outflow,1
2018-10-17,0.0442,17.2773,outflow,1
2018-10-18,0.0449,16.93,outflow,1
2018-10-19,0.045,16.6702,outflow,1
2018-10-20,0.0437,16.4171,outflow,1
